,kcat_MW
C_3OAS60_num2,166.7416782
A_RNTR3c2_num4,192.88428090000002
B_23PDE2pp,742.9971042999999
B_GDPDPK_num1,480.83565350000003
B_ACOXT,192.900794
A_3HAD121_num2,91.00048041
C_NTD2_num2,361.4357534
B_PPA2_num2,361.99896839999997
C_ALCD19_num2,17.42194641
B_UACGAMPpp,191.90736189999998
A_PGPP160_num2,327.6817483
A_HPYRI,854.3305515000001
C_SADT2,291.8677248
B_CYSDS_num1,76.26506308
B_2DOXG6PP_num1,428.7860915
C_GPDDA4pp,503.68371389999993
C_RPNTPH,20557.82549
A_GGPTRCS,16.34221416
A_PHETA1_num2,1873.601279
B_ASPCT_num2,168.4314017
B_TYRPpp,91.33891065
A_O16AT,1072.529108
B_ACOAD2f_reverse,14363.7839
B_PMANM_reverse,306.41276669999996
C_MECDPDH5_num1,160.09279130000002
C_3HAD120_num1,91.00053356
A_PLIPA1E140pp,140.21656959999999
A_METSOXR2_num2,305.1726877
C_NTD5pp_num1,181.317176
B_OPMEACPR,0.0011971689999999999
B_NTPP7_num3,221.1864372
A_AIRC2,7024.6394549999995
B_ADCS,132.8044572
C_CU1Opp,723.1775706
A_CYANST_num3,10767.68714
B_LPLIPAL2E160,582.0299173999999
A_TYRTA_reverse_num1,276.5797887
C_FRULYSK,941.4931038999999
C_2AGPGAT140,322.24094510000003
B_PFL_num2,333.128104
B_TRE6PS,492.9972273
A_PGMT_reverse_num3,1247.93482
C_PLIPA1E161pp,183.31010990000001
A_MPTG_num4,96.1253092
C_3HAD121_num2,91.00048041
B_PUNP5_num1,104.8942355
C_EAR161y,84.227347
A_HACD6_reverse_num1,181.457368
C_DNTPPA_num1,548.5794469
B_NTD9pp_num3,181.73314
B_POR5_reverse_num1,356.6240552
C_KG6PDC_num2,925.8846682
C_AMALT1,729.6238989
B_CU1Opp,723.1775706
B_MPTG_num2,146.1709246
C_3HAD80_num2,91.00039354
A_GLYCDx,62.87800729
A_DXYLTD_num2,1101.70755
A_HYD2pp_num1,14930.86824
C_RBK_L1,216.72241430000003
C_TREH,309.6631212
B_CYTDK1,409.8637997
A_GTPDPDP,105.8539794
A_RHAT1,925.7271599999999
