,kcat_MW
B_DXPS,1308.6511492117475
A_MLTGY1pp_num6,786.9067279447929
B_OCTDPS,704235.117202732
B_GRTT_num2,597.0613139906184
A_ALTRH,1291.449764942294
B_ASP1DC,174.5852225105777
B_EAR80y,3483.2705942955267
A_AGM3PApp_num2,492.1289932479181
A_CYSDS_num1,76.26506304964721
A_TRPS1,72.72198396952048
A_ACACT6r_num1,873.2507207100717
A_PSERT,375.53445792581323
A_PLIPA2G160pp,140.68457951069186
B_TRPS3,500.9566389340798
B_UDCPDP,9353.324163680887
B_5FTHFC,12967.592764727138
A_PSSA160,1022.6924082133563
A_CYTK1_reverse,906.698999575694
B_PNTK,39.57096221629018
B_RBK_num2,998.9679229486724
B_3OAS180_num2,365900.7794129095
B_MPTG_num3,690579.5886143143
A_HSK,4336.233573689949
A_PUNP3_num2,103.02729237794598
B_UDPGD_num1,745.1044883136702
A_ACLS_num1,1489.4642023638514
A_UPLA4FNT,891.1724583382637
A_TMPPP,3.128353747289846
A_PANTS,1.1393252346297904
A_HSTPT,150.9140590165434
A_PLIPA2A141pp,140.50454113677378
A_FACOAL120t2pp_num1,322.88232739155967
A_NADTRHD,229.32941135285304
A_FUM_num3,516.6232892889769
B_NAt3_2pp_num3,241678.27113042359
B_ACMUMptspp_num2,13176.26426468594
A_CDGUNPD_num3,741.2966442601801
A_TDPDRR,437.0303032412576
A_UGLCURPpp,236.08479815204524
A_NDPK8_reverse_num1,611.2899576189266
A_BGLA1_num2,185.1329975946548
A_XYLI1,120.37437279361505
B_RBFSb,93.64799348966758
B_ALCD2x_num1,28643.28538787652
A_SHCHD2,12.251908855407455
A_HXCT,327.9880664761428
A_DHORD5,1051.195095514555
B_PSERtex_reverse_num1,645701.7890818282
A_CDGUNPD_num4,4287.70885423564
A_G1PP_num1,436.4661101012679
A_NADPHXE,397.54508121638855
B_SPMDAT2_num4,412.87611294923965
B_XTSNH_num3,1794.6636369574285
B_3OAR121,8486.469619571115
B_CYTBDpp,862.9022803733399
A_CTECOAI7_reverse,1243.8139103624776
A_ASAD,373.7994548889373
B_XYLUt2pp,534634.9397667213
A_NDPK5_num2,159.48758997507025
A_2MAHMP_num2,583.4077139431763
A_CDAPPA161,362.3780721245097
A_2AGPEAT161,209.69491191078063
A_GK1_reverse,588.8592110780029
A_APH180,1073.142589292996
B_NDPK4_reverse,11849.546901733302
A_DASYN160,7553.936249356198
A_ALLULPE,1087.6615378640481
B_HCO3E_reverse,470958769.3065946
B_FACOAL60t2pp_num1,71.28058159904715
A_PERD,0.8702452278531655
A_MLTGY3pp_num7,453.00949125075897
B_PSERtex_num1,645701.7890818282
A_F6PA_reverse_num1,86.08264449954386
A_GALKr_reverse,653.7761454945572
A_GPDDA3pp,449.3518297103445
A_ADSL2r,261.91825046369235
B_3OAS60_num2,8.449565954573
B_FUM_reverse,6705.369566204791
A_NTP3_num6,689.1070584384657
A_LIPOCT,389.42595728252905
A_PUNP1,114.0304925680558
A_3NTD4pp_num2,662.3761384793922
B_ASCBptspp,628904.344059706
A_TAGURr_reverse,889.5804039169251
A_GF6PTA,59.19782462943433
A_RNTR3c2_num4,192.88428085777167
