,MW,kcat,kcat_MW
ALATA_D2_num1,90.6332,9300.506998,102.616999
ALATA_D2_num2,145.9788,9300.506998,63.71135396
SHCHD2,99.9028,1224,12.25190886
CPPPGO,68.6453,900,13.11087576
GTHOr,97.545,25901.61614,265.5350468
DHORD5,36.7745,38657.17404,1051.195096
GLYCTO2,137.2828,50485.46818,367.7479493
GLYCTO3,137.2828,57086.12156,415.8286512
GLYCTO4,137.2828,117077.842,852.8223638
PFK_3,139.3682,208800,1498.189687
TRPS2,143.4143,9309.205094,64.91127519
G3PD5_num1,148.4235,60326.17992,406.4462832
G3PD5_num2,113.5011,60326.17992,531.503042
LEUTAi_num1,204.5619,54098.62261,264.4608923
LEUTAi_num2,87.0756,54098.62261,621.2833746
SHK3Dr,29.4136,46104.63948,1567.459933
SHK3Dr_reverse,62.4556,29504.42482,472.4063946
G5SD,178.5202,50400,282.3209922
ALATA_L2_num1,145.9788,22488.04715,154.0500891
ALATA_L2_num2,90.6332,22488.04715,248.1215178
MAN6PI,42.85,39462.13397,920.9366154
APRAUR,80.6766,1152,14.27923338
DB4PS,46.7069,1224,26.20597813
RBFK,34.7343,324,9.327955364
ACP1_FMN_num1,30.3709,23467.23572,772.688189
ACP1_FMN_num2,27.1218,23467.23572,865.2536233
ACP1_FMN_num3,30.1962,23467.23572,777.1585736
RBFSb,70.3347,108,1.535515187
DMATT,32.1596,432,13.4330029
GRTT,32.1596,432,13.4330029
UPP3S,27.7979,3600,129.5061857
UPPDC1,39.2481,2916,74.29659015
TMDPP,94.4142,30479.00062,322.8222092
HCO3E_num1,100.3871,32760,326.3367504
HCO3E_num2,47.5285,32760,689.2706481
IMPC,57.3292,17248.07481,300.860204
IMPD,208.0898,6480,31.14040188
ECOAH4_num1,77.0722,41618.87183,539.9984927
ECOAH4_num2,159.1878,41618.87183,261.4451097
GLUTRS,53.8157,324,6.020547907
TMPPP,23.0153,72,3.128353747
URIK1,24.3531,19423.5383,797.5797044
URIK2,24.3531,9433.623334,387.3684802
CYTDK1,24.3531,9981.4541,409.8637997
CYTDK2,24.3531,9559.089353,392.5204328
XPPT,67.8824,10439.90187,153.7939417
HXPRT_num1,67.8824,17665.84585,260.2419162
HXPRT_num2,80.461,17665.84585,219.5578709
NDPK5_num1,23.586,9864.913493,418.2529252
NDPK5_num2,61.8538,9864.913493,159.48759
DHORTS,77.6548,37265.83384,479.8909255
OMPDC,52.7005,86400,1639.453136
CS,288.0899,104400,362.3868799
ICDHyr,91.5134,39600,432.7235137
ACALD_num1,33.4425,347838.2822,10401.08491
ACALD_num2,3845.0896,347838.2822,90.46298484
ACS,72.0936,32028.81133,444.2670546
PPA_num1,116.2719,303342.6722,2608.907846
PPA_num2,26.9004,303342.6722,11276.51158
PPA_num3,118.2214,303342.6722,2565.886313
PPCK,59.6435,97061.54587,1627.361672
ME1,252.7893,60940.10038,241.0707272
ALAR_num1,77.6892,113967.7232,1466.969968
ALAR_num2,78.3059,113967.7232,1455.41681
ALATA_L_num1,91.0347,63159.7104,693.7981934
ALATA_L_num2,92.4324,63159.7104,683.3070482
XYLK_num1,122.1788,24801.49779,202.9934636
XYLK_num2,105.2365,24801.49779,235.6739134
RBK,64.581,59351.15383,919.018811
GLYK,224.9231,45670.44197,203.0491398
PPM,44.37,158919.1397,3581.679957
ASPTA_num1,87.1467,13921.64902,159.7495834
ASPTA_num2,87.0756,13921.64902,159.880024
FBP_num1,68.6469,274394.2568,3997.183512
FBP_num2,147.3357,274394.2568,1862.374542
FBP_num3,71.7046,274394.2568,3826.731574
FBP_num4,29.7211,274394.2568,9232.304888
GLGC,194.7906,18829.61562,96.66593573
PYK_num1,205.4286,427444.7782,2080.746197
PYK_num2,202.9177,427444.7782,2106.493313
A5PISO_num1,140.7843,55549.16712,394.5693314
A5PISO_num2,136.1257,55549.16712,408.0725911
IPPMIb,72.3693,23255.09457,321.3392222
ACHBS_num1,143.0927,67064.87156,468.6812923
ACHBS_num2,161.9222,67064.87156,414.1795971
ACLS_num1,161.9222,241177.3205,1489.464203
ACLS_num2,143.0927,241177.3205,1685.462085
PSCVT,46.0958,75600,1640.062652
ANS,228.7288,17526.9833,76.6277937
ANPRT,113.7399,18000,158.25581
CHORM_num1,86.2227,123098.1309,1427.676597
CHORM_num2,84.085,123098.1309,1463.972539
CHORS,156.5498,151200,965.8268487
IGPS,49.4923,18000,363.6929381
ECOAH6_num1,77.0722,36593.98049,474.8012966
ECOAH6_num2,159.1878,36593.98049,229.8793029
ENO,91.3099,828000,9068.020007
FBA_num1,78.2945,313200,4000.28099
FBA_num2,381.0919,37445.93179,98.2595846
MGSA,101.5115,10091.64245,99.41378514
PPS,174.8702,370888.9427,2120.938517
PGI,123.0595,41112000,334082.2935
PGK,41.1182,81612.68645,1984.831205
EDA,66.8521,44337.53138,663.2182292
PGL,36.3076,662400,18244.11418
RPE,24.5542,198533.1876,8085.508288
TALA_num1,70.4385,49937.71597,708.9548467
TALA_num2,35.6588,49937.71597,1400.431758
TKT1_num1,144.4235,182904.1236,1266.442951
TKT1_num2,73.0427,182904.1236,2504.07123
G6PDA,178.6452,151224.2552,846.5061205
ALCD2x_num1,3845.0896,65388.1289,17.00561904
ALCD2x_num2,141.5183,65388.1289,462.0471621
ALDD2y_num1,29.4102,22093.1682,751.207683
ALDD2y_num2,84.194,22093.1682,262.4078699
ALDD2y_num3,225.2254,22093.1682,98.09359069
ALDD2y_num4,31.488,22093.1682,701.6377096
