,A,B,S_value,A_c2e,T_A_value,T_B_value,B_e2c
1,1.0,99.0,16.955519605543465,16.95551960554346,16.95551960554346,16.95551960554346,0.17126787480346933
2,2.0,98.0,24.2287593527495,12.114379676374751,24.228759352749503,24.228759352749503,0.24723223829336224
3,3.0,97.0,27.780131108451982,9.260043702817327,27.780131108451982,27.780131108451982,0.2863931042108452
4,4.0,96.0,31.30442033096332,7.826105082740831,31.304420330963325,31.304420330963325,0.32608771178086793
5,5.0,95.0,34.7833838969819,6.956676779396381,34.7833838969819,34.7833838969819,0.3661408831261253
6,6.0,94.0,38.18611970125033,6.36435328354172,38.18611970125033,38.18611970125033,0.40623531597074813
7,7.0,93.0,41.45219717517219,5.921742453596026,41.45219717517218,41.45219717517218,0.44572255027066865
8,8.0,92.0,44.65210620903944,5.58151327612993,44.65210620903944,44.65210620903944,0.4853489805330374
9,9.0,91.0,47.105269648787335,5.233918849865259,47.105269648787335,47.105269648787335,0.5176403258108498
10,10.0,90.0,49.53758800595145,4.9537588005951445,49.53758800595144,49.53758800595144,0.5504176445105716
11,11.0,89.0,51.969761686216316,4.724523789656029,51.969761686216316,51.969761686216316,0.5839299065867002
12,12.0,88.0,54.4020945110725,4.533507875922708,54.4020945110725,54.4020945110725,0.6182056194440056
13,13.0,87.0,56.834253723646874,4.37186567104976,56.83425372364688,56.83425372364688,0.6532672841798493
14,14.0,86.0,59.266499742358945,4.233321410168496,59.266499742358945,59.266499742358945,0.6891453458413831
15,15.0,85.0,60.98723124077729,4.065815416051819,60.98723124077729,60.98723124077729,0.7174968381267917
16,16.0,84.0,62.42841789810873,3.9017761186317954,62.42841789810873,62.42841789810873,0.743195451167961
17,17.0,83.0,63.86960455543934,3.7570355620846665,63.86960455543933,63.86960455543933,0.7695133078968595
18,18.0,82.0,65.31079121277548,3.628377289598638,65.31079121277548,65.31079121277548,0.7964730635704327
19,19.0,81.0,66.57872691894775,3.504143522049882,66.57872691894777,66.57872691894777,0.8219595915919476
20,20.0,80.0,67.36751875357263,3.3683759376786315,67.36751875357263,67.36751875357263,0.8420939844196579
21,21.0,79.0,67.94153194350804,3.2353110449289537,67.94153194350802,67.94153194350802,0.860019391689975
22,22.0,78.0,68.5155451334484,3.1143429606112907,68.5155451334484,68.5155451334484,0.8784044247877999
23,23.0,77.0,69.08955832337993,3.0038938401469535,69.08955832337993,69.08955832337993,0.8972669912127265
24,24.0,76.0,69.63739077672595,2.901557949030248,69.63739077672597,69.63739077672597,0.9162814575884994
25,25.0,75.0,69.75802246218221,2.790320898487288,69.7580224621822,69.7580224621822,0.9301069661624294
26,26.0,74.0,69.75802246218214,2.683000863930082,69.75802246218213,69.75802246218213,0.9426759792186775
27,27.0,73.0,69.75802246217889,2.5836304615621812,69.7580224621789,69.7580224621789,0.9555893487969712
28,28.0,72.0,69.75802246216675,2.491357945077384,69.75802246216676,69.75802246216676,0.9688614230856494
29,29.0,71.0,69.7580224621726,2.4054490504197457,69.75802246217262,69.75802246217262,0.9825073586221494
30,30.0,70.0,69.75474338247489,2.325158112749163,69.75474338247489,69.75474338247489,0.9964963340353555
31,31.0,69.0,69.74632402019046,2.249881420006144,69.74632402019046,69.74632402019046,1.0108162901476878
32,32.0,68.0,69.7379046579215,2.179309520560047,69.7379046579215,69.7379046579215,1.025557421440022
33,33.0,67.0,69.72948529564617,2.113014705928672,69.72948529564619,69.72948529564619,1.0407385865021817
34,34.0,66.0,69.72106593337948,2.050619586275867,69.72106593337948,69.72106593337948,1.056379786869386
35,35.0,65.0,69.71264657109649,1.9917899020313277,69.71264657109647,69.71264657109647,1.0725022549399459
36,36.0,64.0,69.70422720884126,1.9362285335789242,69.70422720884127,69.70422720884127,1.0891285501381447
37,37.0,63.0,69.69580784655953,1.883670482339447,69.69580784655953,69.69580784655953,1.1062826642311037
38,38.0,62.0,69.68738848429712,1.8338786443236081,69.68738848429712,69.68738848429712,1.123990136843502
39,39.0,61.0,69.67896912202544,1.7866402338980885,69.67896912202545,69.67896912202545,1.142278182328286
40,40.0,60.0,69.66879428460348,1.7417198571150871,69.66879428460348,69.66879428460348,1.161146571410058
41,41.0,59.0,69.65407640118268,1.6988799122239677,69.65407640118268,69.65407640118268,1.1805775661217404
42,42.0,58.0,69.63935851774997,1.6580799647083324,69.63935851774997,69.63935851774997,1.20067859513362
43,43.0,57.0,69.62464063433222,1.6191776891705167,69.62464063433222,69.62464063433222,1.2214849234093372
44,44.0,56.0,69.60992275089178,1.5820436988839046,69.6099227508918,69.6099227508918,1.2430343348373534
45,45.0,55.0,69.59520486747515,1.5465601081661144,69.59520486747515,69.59520486747515,1.2653673612268208
46,46.0,54.0,69.58048698403607,1.5126192822616538,69.58048698403607,69.58048698403607,1.2885275367414086
