,S_value,A,B,obj,A_glc_out,B_glc,A_xyl,B_xyl,A_c2e,T_A_value,T_B_value,B_e2c
1,16.955519605544403,1.0,99.0,0.17126787480347883,967.2952624274417,767.2952624274417,0.0,200.0,16.955519605544396,16.955519605544396,16.955519605544396,0.17126787480347877
2,35.071845442704095,2.0,98.0,0.35787597390514386,934.9932595241688,557.1284048497743,0.0,200.0,17.535922721352108,35.071845442704216,35.071845442704216,0.35787597390514503
3,53.187984882317636,3.0,97.0,0.548329741054821,902.6915754129595,702.6915754129595,-2.2737367544323206e-13,200.00000000000023,17.729328294105926,53.18798488231778,53.18798488231778,0.5483297410548225
4,71.30440391825016,4.0,96.0,0.7427542074817726,870.3894131136558,670.3894131136558,0.0,200.0,17.82610097956251,71.30440391825005,71.30440391825005,0.7427542074817712
5,89.42045015909105,5.0,95.0,0.9412678964114847,838.0878883984794,638.0878883984794,0.0,200.0,17.884090031818232,89.42045015909116,89.42045015909116,0.9412678964114859
6,107.53696239379248,6.0,94.0,1.144010238231835,805.7855667031487,605.7855667031487,0.0,200.0,17.922827065632077,107.53696239379246,107.53696239379246,1.1440102382318347
7,125.65291543586332,7.0,93.0,1.3511066175899282,773.4842013840012,573.4842013840012,2.2737367544323206e-13,199.99999999999977,17.950416490837597,125.65291543586318,125.65291543586318,1.3511066175899267
8,129.89544200230455,8.0,92.0,1.411906978285919,773.8692995368687,573.8692995368687,10.932724144563146,189.06727585543686,16.236930250288083,129.89544200230466,129.89544200230466,1.4119069782859202
9,130.75622767388145,9.0,91.0,1.4368816227899062,783.6025997155394,583.6025997155394,26.009278271145522,173.99072172885448,14.52846974154238,130.75622767388145,130.75622767388145,1.4368816227899062
10,131.61703049592785,10.0,90.0,1.4624114499547538,793.3361318650094,593.3361318650094,41.08614654842706,158.91385345157295,13.161703049592802,131.61703049592802,131.61703049592802,1.4624114499547558
11,132.4371915855861,11.0,89.0,1.4880583324223158,803.2367167310366,603.2367167310366,55.83784980279499,144.162150197205,12.039744689598706,132.4371915855861,132.4371915855861,1.4880583324223158
12,133.15154590059865,12.0,88.0,1.5130857488704392,811.9152479178113,611.9152479178113,69.65763734976245,130.34236265023753,11.095962158383259,133.1515459005991,133.1515459005991,1.5130857488704443
13,133.83181507305113,13.0,87.0,1.5382967249775992,820.299445991559,620.299445991559,83.51444886934658,116.48555113065342,10.294755005619322,133.8318150730512,133.8318150730512,1.5382967249775998
14,134.51208424553548,14.0,86.0,1.5640940028550636,828.6836440652382,628.6836440652382,97.37126038891616,102.62873961108384,9.608006017538287,134.51208424553548,134.51208424553548,1.5640940028550636
15,135.19235341798148,15.0,85.0,1.5904982755056645,837.0678421390189,637.0678421390189,111.2280719085223,88.7719280914777,9.01282356119873,135.19235341798094,135.19235341798094,1.590498275505658
16,135.87265703758513,16.0,84.0,1.617531631399823,845.4525052832684,645.4525052832684,125.0855126929532,74.9144873070468,8.492041064849104,135.87265703758567,135.87265703758567,1.6175316313998294
17,136.55292836294998,17.0,83.0,1.6452160043728914,853.836732424002,653.836732424002,138.94236354162126,61.05763645837874,8.032525197820632,136.55292836295075,136.55292836295075,1.6452160043729007
18,137.23316093534203,18.0,82.0,1.6735751333578297,862.220436360255,662.220436360255,152.79850646728943,47.20149353271057,7.624064496407868,137.23316093534163,137.23316093534163,1.6735751333578248
19,137.91343010779758,19.0,81.0,1.7026349396024394,870.6046344340087,670.6046344340087,166.6553179868884,33.344682013111594,7.258601584620919,137.91343010779747,137.91343010779747,1.7026349396024378
20,138.5936992802449,20.0,80.0,1.732421241003061,878.9888325077632,678.9888325077632,180.51212950647795,19.487870493522053,6.929684964012267,138.59369928024535,138.59369928024535,1.7324212410030668
21,139.27401366458528,21.0,79.0,1.7629621982858896,887.3736409865538,687.3736409865538,194.36976693617595,5.6302330638240505,6.632095888789763,139.27401366458503,139.27401366458503,1.7629621982858863
22,139.93745084308583,22.0,78.0,1.7940698826036645,893.0983541430929,693.0983541430929,200.0,0.0,6.360793220140295,139.93745084308648,139.93745084308648,1.7940698826036727
23,140.18587039985377,23.0,77.0,1.8205957194786202,892.1504718172501,692.1504718172501,200.0,0.0,6.095037843471914,140.18587039985374,140.18587039985374,1.8205957194786202
