,A,B,obj,S_value,A_glc_out,B_glc,A_xyl,B_xyl,A_c2e,T_A_value,T_B_value,B_e2c
1,1.0,99.0,0.031262279077758505,3.094965628698092,0.0,139.93221041390214,10.993943804120557,0.0,3.0949656286980916,3.0949656286980916,3.0949656286980916,0.031262279077758505
2,2.0,98.0,0.07527546587796846,7.37699565604091,0.0,143.22326127008665,21.730394992196025,0.0,3.6884978280204552,7.3769956560409105,7.37699565604091,0.07527546587796846
3,3.0,97.0,0.12019629281500736,11.659040403055714,0.0,146.51432807258112,32.466969077467354,0.0,3.886346801018571,11.659040403055714,11.659040403055714,0.12019629281500736
4,4.0,96.0,0.16605297031323335,15.941085150070402,0.0,149.80539487507656,43.20364941064403,0.0,3.9852712875176004,15.941085150070402,15.941085150070402,0.16605297031323335
5,5.0,95.0,0.2128750515482654,20.22312989708521,0.0,153.09646167757165,53.94023797239243,0.0,4.0446259794170425,20.22312989708521,20.22312989708521,0.2128750515482654
6,6.0,94.0,0.26069334727765847,24.505174644099895,0.0,156.3875284800667,65.96514002049183,0.0,4.084195774016649,24.505174644099895,24.505174644099895,0.26069334727765847
7,7.0,93.0,0.3095411013851428,28.78732242881828,0.0,159.67870690674113,75.41410617926547,0.0,4.112474632688325,28.787322428818275,28.78732242881828,0.3095411013851428
8,8.0,92.0,0.3594485232405348,33.0692641381292,0.0,162.96966208505694,86.1500036576368,0.0,4.13365801726615,33.0692641381292,33.0692641381292,0.3594485232405348
9,9.0,91.0,0.4104539437927898,37.35130888514387,0.0,166.26072888755223,98.81906244783296,0.0,4.1501454316826525,37.35130888514387,37.35130888514387,0.4104539437927898
10,10.0,90.0,0.4625928181351075,41.633353632159675,0.0,169.5517956900488,107.62318078114102,0.0,4.1633353632159675,41.633353632159675,41.633353632159675,0.4625928181351075
11,11.0,89.0,0.5159033525749883,45.91539837917396,0.0,173.35560001973627,118.36034285576613,0.0,4.174127125379451,45.91539837917396,45.915398379173965,0.5159033525749883
12,12.0,88.0,0.5704274972983179,50.197619762251975,0.0,184.05115574290917,129.0981682693198,0.0,4.183134980187664,50.197619762251975,50.197619762251975,0.5704274972983179
13,13.0,87.0,0.6262010100368061,54.479487873202125,0.0,195.8323553157974,139.8336242542566,0.0,4.1907298364001635,54.479487873202125,54.479487873202125,0.6262010100368061
14,14.0,86.0,0.6832760313444673,58.76173869562419,0.0,207.61418237325185,150.57164712027938,0.0,4.197267049687442,58.76173869562419,58.761738695624196,0.6832760313444673
15,15.0,85.0,0.7416891454968743,63.04357736723431,0.0,219.39533367810918,161.30690565282964,0.0,4.2029051578156205,63.04357736723431,63.04357736723431,0.7416891454968743
16,16.0,84.0,0.8014955013600925,67.32562211424776,0.0,231.17682285927538,172.04354635205118,0.0,4.207851382140485,67.32562211424776,67.32562211424778,0.8014955013600925
17,17.0,83.0,0.8627429742320861,71.60766686126316,0.0,245.22090969999167,186.42952226172892,0.0,4.212215697721362,71.60766686126316,71.60766686126314,0.8627429742320861
18,18.0,82.0,0.92548428790584,75.88971160827889,0.0,263.99214451003826,193.59004491885568,0.0,4.216095089348827,75.88971160827889,75.88971160827889,0.92548428790584
19,19.0,81.0,0.9752786905086184,78.99757393119809,0.0,277.5080261710128,200.0,0.0,4.157767049010426,78.99757393119809,78.99757393119809,0.9752786905086184
20,20.0,80.0,1.0020920316358568,80.16736253086854,0.0,283.40769509102233,200.0,0.0,4.008368126543427,80.16736253086854,80.16736253086854,1.0020920316358568
21,21.0,79.0,1.0046667498828634,79.3686732407462,0.0,279.00099580027245,200.0,0.0,3.779460630511724,79.3686732407462,79.3686732407462,1.0046667498828634
22,22.0,78.0,1.0073074865463922,78.56998395061859,0.0,274.59429650953757,200.0,0.0,3.5713629068462995,78.56998395061859,78.56998395061859,1.0073074865463922
23,23.0,77.0,1.010016813772737,77.77129466050074,0.0,270.18738154399847,200.0,0.0,3.3813606374130756,77.77129466050074,77.77129466050074,1.010016813772737
24,24.0,76.0,1.012797439083927,76.97260537037845,0.0,265.78089792810715,200.0,0.0,3.2071918904324352,76.97260537037845,76.97260537037845,1.012797439083927
25,25.0,75.0,1.0156522144033484,76.17391608025113,0.0,261.3741986373109,200.0,0.0,3.0469566432100454,76.17391608025113,76.17391608025113,1.0156522144033484
26,26.0,74.0,1.01858414581252,75.37522679012648,0.0,256.9674993465434,200.0,0.0,2.899047184235634,75.37522679012648,75.37522679012648,1.01858414581252
