,A,B,T_value,,,,,,
99,99,1,1.841303949,182.2890909,,,,,
98,98,2,1.860175409,182.2971901,,,,,
97,97,3,1.879435972,182.3052893,,,,,
96,96,4,1.899097796,182.3133884,,,,,
95,95,5,1.919173554,182.3214876,,,,,
94,94,6,1.939676455,182.3295868,,,,,
93,93,7,1.960620279,182.337686,,,,,
92,92,8,1.982019404,182.3457851,,,,,
91,91,9,2.003888838,182.3538843,,,,,
90,90,10,2.026244261,182.3619835,,,,,
89,89,11,2.049102052,182.3700826,,,,,
88,88,12,2.072479339,182.3781818,,,,,
87,87,13,2.096394034,182.386281,,,,,
86,86,14,2.120864886,182.3943802,,,,,
85,85,15,2.145911522,182.4024793,,,,,
84,84,16,2.171554506,182.4105785,,,,,
83,83,17,2.197815394,182.4186777,,,,,
82,82,18,2.224716791,182.4267769,,,,,
81,81,19,2.25228242,182.434876,,,,,
80,80,20,2.28053719,182.4429752,,,,,
79,79,21,2.309507271,182.4510744,,,,,
78,78,22,2.339220174,182.4591736,,,,,
77,77,23,2.369704841,182.4672727,,,,,
76,76,24,2.400991736,182.4753719,,,,,
75,75,25,2.433112948,182.4834711,,,,,
74,74,26,2.466102301,182.4915702,,,,,
73,73,27,2.499995472,182.4996694,,,,,
72,72,28,2.534830119,182.5077686,,,,,
71,71,29,2.570646025,182.5158678,,,,,
70,70,30,2.607485242,182.5239669,,,,,
69,69,31,2.645392263,182.5320661,,,,,
68,68,32,2.684414195,182.5401653,,,,,
67,67,33,2.724600962,182.5482645,,,,,
66,66,34,2.76600551,182.5563636,,,,,
65,65,35,2.808684043,182.5644628,,,,,
64,64,36,2.852658889,182.5701689,,,,,
63,63,37,2.897978734,182.5726603,,,,,
62,62,38,2.94476051,182.5751516,,,,,182.4834711
61,61,39,2.993076115,182.577643,,,,,182.4915702
60,60,40,3.04300224,182.5801344,,,,,182.4996694
59,59,41,3.094620775,182.5826257,,,,,182.5077686
58,58,42,3.148019261,182.5851171,,,,,182.5158678
57,57,43,3.203291377,182.5876085,,,,,182.5239669
56,56,44,3.260537498,182.5900999,,,,,182.5320661
55,55,45,3.319865295,182.5925912,,,,,182.5401653
54,54,46,3.381390419,182.5950826,,,,,182.5482645
53,53,47,3.445237245,182.597574,,,,,182.5563636
52,52,48,3.511539719,182.6000654,,,,,182.5644628
51,51,49,3.580442289,182.6025567,,,,,182.5701689
50,50,50,3.652100962,182.6050481,,,,,182.5726603
49,49,51,3.726684479,182.6075395,,,,,182.5751516
48,48,52,3.804375643,182.6100309,,,,,182.577643
47,47,53,3.885372814,182.6125222,,,,,182.5801344
46,46,54,3.9698916,182.6150136,,,,,182.5826257
45,45,55,4.058166778,182.617505,,,,,182.5851171
44,44,56,4.150454463,182.6199964,,,,,182.5876085
43,43,57,4.247034599,182.6224877,,,,,182.5900999
42,42,58,4.348213789,182.6249791,,,,,182.5925912
41,41,59,4.454328549,182.6274705,,,,,182.5950826
40,40,60,4.565749047,182.6299619,,,,,182.597574
39,39,61,4.682883416,182.6324532,,,,,182.6000654
38,38,62,4.806182753,182.6349446,,,,,182.6025567
37,37,63,4.936146919,182.637436,,,,,182.6050481
36,36,64,5.073331316,182.6399274,,,,,182.6075395
35,35,65,5.218354821,182.6424187,,,,,182.6100309
34,34,66,5.371909121,182.6449101,,,,,182.6125222
33,33,67,5.534769742,182.6474015,,,,,182.6150136
32,32,68,5.707809152,182.6498929,,,,,182.617505
31,31,69,5.892012395,182.6523842,,,,,182.6199964
30,30,70,6.088495854,182.6548756,,,,,182.6224877
29,29,71,6.298529896,182.657367,,,,,182.6249791
28,28,72,6.52356637,182.6598584,,,,,182.6274705
27,27,73,6.765272212,182.6623497,,,,,182.6299619
26,26,74,7.025049627,182.6512903,,,,,182.6324532
25,25,75,7.305387607,182.6346902,,,,,182.6349446
24,24,76,7.609086502,182.6180761,,,,,182.637436
23,23,77,7.93919155,182.6014057,,,,,182.6399274
22,22,78,8.299306148,182.5847353,,,,,182.6424187
21,21,79,8.693717374,182.5680649,,,,,182.6449101
20,20,80,9.127569723,182.5513945,,,,,
19,19,81,9.60709074,182.5347241,,,,,
18,18,82,10.13989187,182.5180537,,,,,
17,17,83,10.51866729,178.8173438,,,,,
16,16,84,10.8927601,174.2841616,,,,,
15,15,85,11.31110648,169.6665973,,,,,
14,14,86,11.77414396,164.8380155,,,,,
13,13,87,12.30841798,160.0094337,,,,,
12,12,88,12.87013078,154.4415694,,,,,
11,11,89,13.4283748,147.7121228,,,,,
10,10,90,14.09826762,140.9826762,,,,,
9,9,91,14.91702552,134.2532296,,,,,
8,8,92,15.94047288,127.5237831,,,,,
7,7,93,17.25633379,120.7943365,,,,,
6,6,94,19.01081499,114.0648899,,,,,
5,5,95,21.46708867,107.3354434,,,,,
4,4,96,25.1514992,100.6059968,,,,,
3,3,97,25.6098129,76.82943871,,,,,
2,2,98,25.6098129,51.2196258,,,,,
1,1,99,25.6098129,25.6098129,,,,,
