,fluxes,kcat,MW,kcat_MW,equ
ALATA_D2_num1,0.0,9300.506998,90.6332,102.61699899999999,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,2.23e-05,1224.0,99.9028,12.25190886,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,2.23e-05,900.0,68.6453,13.11087576,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.0026166,25901.616140000002,97.545,265.53504680000003,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.0,38657.17404,36.7745,1051.1950960000001,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,0.0,50485.46818,137.2828,367.7479493,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.0,57086.12156,137.2828,415.8286512,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,117077.84199999999,137.2828,852.8223638000001,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,208800.0,139.3682,1498.1896869999998,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,9309.205093999999,143.4143,64.91127519,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5_num1,0.0,60326.17992,148.4235,406.4462832,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,,,,acgam_e --> 
EX_cellb_e,0.0,,,,cellb_e --> 
EX_chol_e,0.0,,,,chol_e --> 
LEUTAi_num1,0.0,54098.622610000006,204.5619,264.4608923,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr,0.12430000000000002,46104.63948,29.4136,1567.459933,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.0221055,50400.0,178.5202,282.3209922,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2_num1,0.0,22488.04715,145.9788,154.05008909999998,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,39462.133969999995,42.85,920.9366153999999,man6p_c --> f6p_c
APRAUR,4.460000000000001e-05,1152.0,80.6766,14.27923338,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,8.920000000000001e-05,1224.0,46.7069,26.20597813,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,2.2300000000000007e-05,324.0,34.7343,9.327955364,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN_num1,0.0,23467.23572,30.3709,772.688189,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,4.460000000000001e-05,108.0,70.3347,1.535515187,2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e,0.0,,,,pi_e --> 
EX_h_e,15.925009780445194,,,,h_e --> 
DMATT,2.7800000000000652e-05,432.0,32.1596,13.433002900000002,dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT,2.7800000000000652e-05,432.0,32.1596,13.433002900000002,grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S,4.46e-05,3600.0,27.7979,129.5061857,hmbil_c --> h2o_c + uppg3_c
UPPDC1,2.23e-05,2916.0,39.2481,74.29659015,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP,0.0,30479.00062,94.4142,322.8222092,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,,,,ade_e --> 
EX_4abut_e,0.0,,,,4abut_e --> 
EX_ac_e,0.0,,,,ac_e --> 
EX_akg_e,0.0,,,,akg_e --> 
EX_ala__L_e,0.0,,,,ala__L_e --> 
EX_arg__L_e,0.0,,,,arg__L_e --> 
EX_asp__L_e,0.0,,,,asp__L_e --> 
EX_cytd_e,0.0,,,,cytd_e --> 
EX_dcyt_e,0.0,,,,dcyt_e --> 
EX_fum_e,0.07104690000001146,,,,fum_e --> 
EX_glu__L_e,0.0,,,,glu__L_e --> 
EX_gua_e,0.0,,,,gua_e --> 
HCO3E_num1,0.0,32760.0,100.3871,326.33675039999997,co2_c + h2o_c --> h_c + hco3_c
IMPC,0.0,17248.07481,57.3292,300.860204,h2o_c + imp_c --> fprica_c
IMPD,0.0,6480.0,208.0898,31.14040188,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4_num1,0.0,41618.871830000004,77.0722,539.9984927,3hdcoa_c --> dc2coa_c + h2o_c
GLUTRS,0.0003568,324.0,53.8157,6.020547907,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP,2.23e-05,72.0,23.0153,3.128353747,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1,0.0,19423.5383,24.3531,797.5797044,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,9433.623334,24.3531,387.36848019999996,gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1,0.0,9981.4541,24.3531,409.8637997,atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2,0.0,9559.089353,24.3531,392.52043280000004,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.024322800000000006,10439.90187,67.8824,153.79394169999998,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT_num1,0.0,17665.84585,67.8824,260.2419162,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5_num1,0.0,9864.913493,23.586,418.2529252,atp_c + dgdp_c --> adp_c + dgtp_c
DHORTS,0.0,37265.83384,77.6548,479.8909255,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.033079499999999984,86400.0,52.7005,1639.4531359999999,h_c + orot5p_c --> co2_c + ump_c
CS,0.10751919999999993,104400.0,288.0899,362.38687989999994,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,0.10751919999999993,39600.0,91.5134,432.7235137,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ACALD_num1,0.0,347838.2822,33.4425,10401.08491,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
ACS,0.0,32028.81133,72.0936,444.2670546,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA_num1,0.0,303342.6722,116.2719,2608.907846,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,0.0,97061.54587,59.6435,1627.361672,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,60940.100379999996,252.7893,241.0707272,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR_num1,0.0041682,113967.7232,77.6892,1466.9699679999999,ala__L_c --> ala__D_c
ALATA_L_num1,0.0,63159.7104,91.0347,693.7981934,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK_num1,0.0,24801.49779,122.1788,202.99346359999998,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.024322800000000006,59351.153829999996,64.581,919.0188109999999,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,0.0,45670.44197,224.9231,203.0491398,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,158919.1397,44.37,3581.679957,r1p_c --> r5p_c
ASPTA_num1,0.0,13921.649019999999,87.1467,159.7495834,akg_c + asp__L_c --> glu__L_c + oaa_c
FBP_num1,0.0,274394.2568,68.6469,3997.1835119999996,fdp_c + h2o_c --> f6p_c + pi_c
GLGC,0.0,18829.61562,194.7906,96.66593573,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
PYK_num1,0.0,427444.7782,205.4286,2080.746197,adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO_num1,0.0,55549.167120000006,140.7843,394.56933139999995,ru5p__D_c --> ara5p_c
EX_met__L_e,0.0,,,,met__L_e --> 
EX_metsox_S__L_e,0.0,,,,metsox_S__L_e --> 
IPPMIb,0.0,23255.094569999997,72.3693,321.3392222,2ippm_c + h2o_c --> 3c3hmp_c
ACHBS_num1,0.0290529,67064.87156,143.0927,468.68129230000005,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS_num1,0.0,241177.3205,161.9222,1489.464203,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT,0.12430000000000002,75600.0,46.0958,1640.0626519999998,pep_c + skm5p_c --> 3psme_c + pi_c
ANS,0.0056843,17526.9833,228.7288,76.6277937,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT,0.0056843,18000.0,113.7399,158.25581,anth_c + prpp_c --> ppi_c + pran_c
CHORM_num1,0.0,123098.1309,86.2227,1427.6765970000001,chor_c --> pphn_c
CHORS,0.12430000000000002,151200.0,156.5498,965.8268487,3psme_c --> chor_c + pi_c
IGPS,0.0056843,18000.0,49.4923,363.6929381,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e,0.0,,,,crn_e --> 
EX_fe3_e,0.0,,,,fe3_e --> 
EX_glcn_e,0.0,,,,glcn_e --> 
EX_gln__L_e,0.0,,,,gln__L_e --> 
