,tyr:php,AG:GD=3:1,No.0glc,No.0xyl,AG:GD=2:1,No.1glc,No.1xyl,AG:GD=1:1,No.2glc,No.2xyl,AG:GD=1:2,No.3glc,No.3xyl,No.4glc,No.4xyl
0,0.01:0.01,0.10846608409667624,20.2803587732229,6.0,1.0698505261437958,2.9764742005943243,6.0,1.9988250345680854,3.9948897142885125,6.0,1.9849278759261324,4.978323612053488,6.0,7.72529797377924,6.0
1,0.01:0.011,0.10846608409667624,,,1.0698505261437958,2.976474200594313,6.0,1.9988250345680854,3.9948897430359365,5.99999999999999,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
2,0.01:0.012,0.10846608409667624,,,1.0698505261437958,2.9764741718468755,6.0,1.9988250345680854,3.994889714288532,6.0,1.9849278759261324,4.978323612053488,6.0,7.7252980041252854,6.0
3,0.01:0.013000000000000001,0.10846608409667624,,,1.0698505261437958,2.976474200594334,6.0,1.9988250345680854,3.994889714288532,6.0,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
4,0.01:0.014,0.10846608409667624,,,1.0698505261437958,2.976474200594309,6.0,1.9988250345680854,3.994889714288492,6.0,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
5,0.01:0.015,0.10846608409667624,,,1.0698505261437958,2.976474200594309,6.0,1.9988250345680854,3.9948897142885347,6.0,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
6,0.01:0.016,0.10846608409667624,,,1.0698505261437958,2.976474200594321,6.0,1.9988250345680854,3.994889743035935,6.000000000000015,1.9849278759261324,4.978323612053488,6.0,7.725298007600845,6.0
7,0.01:0.017,0.10846608409667624,,,1.0698505261437958,2.976474200594321,6.0,1.9988250345679717,3.9948897142885413,6.0,1.9849278759261324,4.9783236120533605,6.0,7.725298004125289,6.0
8,0.01:0.018000000000000002,0.10846608409667624,,,1.0698505261437958,2.976474200594321,6.0,1.9988250345680854,3.994889714288467,6.0,1.9849278759261324,4.978323612053488,6.0,7.7252979684938055,6.0
9,0.01:0.019000000000000003,0.10846608409667624,,,1.0698505261437958,2.976474200594309,6.0,1.9988045746914622,3.994889714288534,6.0,1.9849074160495093,4.97911632627142,6.0,7.726088431803131,6.0
10,0.01:0.02,0.10846608409667624,,,1.0698505261437958,2.9764742005943092,6.0,1.998761364814527,3.994889714288506,6.0,1.9848642061724604,4.980784812300115,6.0,7.727757873402414,6.0
11,0.01:0.020999999999999998,0.10846608409667624,,,1.0698505261437958,2.9764742005943003,6.0,1.9987181549385014,3.994889714288506,6.0,1.984820996296321,4.982452935347078,6.0,7.7294246487261935,6.0
12,0.01:0.022,0.10846608409667624,,,1.0698505261437958,2.9764741718468826,6.0,1.9986749450619072,3.99488971428851,6.0,1.9847777864199543,4.98412178906424,6.0,7.731094078594298,6.0
13,0.01:0.023,0.10846608409667624,,,1.0698505261437958,2.976474171846869,6.0,1.9986317351853131,3.994889743035932,6.000000000000032,1.9847345765433602,4.9857902703910515,6.0,7.732766194431882,6.0
14,0.01:0.024,0.10846608409633518,,,1.0698505261437958,2.976474200593937,6.0,1.9985885253091737,3.994889714288509,6.0,1.9846913666672208,4.987458756422168,6.0,7.734432938330502,6.0
15,0.01:0.025,0.10846608409633518,,,1.0698505261437958,2.9764741718464958,6.0,1.9985453154325796,3.99488974303594,6.000000000000017,1.9846481567906267,4.989126549785292,6.0,7.736102368198368,6.0
16,0.01:0.026000000000000002,0.10846608409633518,,,1.0698505261437958,2.976474171846503,6.0,1.9985021055556444,3.99488974303594,6.000000000000017,1.9846049469138052,4.990795728480602,6.0,7.737774484035869,6.0
17,0.01:0.027000000000000003,0.10846608409633518,,,1.0698505261437958,2.976474171846516,6.0,1.9984588956790503,3.99488974303594,6.000000000000017,1.984561737037211,4.992464214510333,6.0,7.739443887765054,6.0
18,0.01:0.028000000000000004,0.10846608409633518,,,1.0698505261437958,2.976474200593935,6.0,1.99841568580257,3.99488974303594,6.000000000000017,1.984518527160617,4.994132700540414,6.0,7.7411133176327835,6.0
19,0.01:0.028999999999999998,0.10846608409633518,,,1.0698505261437958,2.9764741718464895,6.0,1.9983724759256347,3.9948897142884903,6.0,1.9844753172837954,4.995801186569103,6.0,7.742782777479975,6.0
20,0.01:0.03,0.10846608409644887,,,1.0698505261437958,2.976474171846614,6.0,1.9983292660494953,3.99488971428852,6.000000000000007,1.9844321074074287,4.997469672600232,6.0,7.744452177368346,6.0
