,tyr:php,AG:GD=3:1,No.1glc,No.1xyl,AG:GD=2:1,No.2glc,No.2xyl,AG:GD=1:1,No.3glc,No.3xyl,AG:GD=1:2,No.4glc,No.4xyl
0,0.098:0.04,0.024277984096784166,18.108158485906145,6.0,0.6755470592826214,23.013391230734857,5.377067973292636,0.6755470592827351,23.013391230653543,3.4696570134244715,1.9131893876544837,7.74868730076029,6.0
1,0.098:0.041,0.024277984095760985,18.10815848589906,6.0,0.6750015486857137,23.012539950102248,5.376061879590961,0.6750015486859411,23.01253995035448,3.4686509197230198,1.9131461777778895,7.750356814297305,6.0
2,0.098:0.042,0.024277984096784166,18.108158485906145,6.0,0.6744560380886924,23.011688669803114,5.375055785889064,0.674456038088806,23.011688669847807,3.46764482602089,1.9131029679017502,7.75202632783482,6.0
3,0.098:0.043000000000000003,0.024277984097125227,18.10815848590852,6.0,0.6739105274918984,23.01083738949115,5.374049692187585,0.6739105274921258,23.01083738958857,3.4666387323196766,1.913059758025156,7.753695841371831,6.0
4,0.098:0.044,0.02427798409701154,18.108158485907722,6.0,0.6733650168947634,23.009986108930338,5.373043598485502,0.6733650168951044,23.009986109095856,3.4656326386177687,1.9130165481483346,7.755365354908617,6.0
5,0.098:0.045,0.02427798409667048,18.10815848590535,6.0,0.6728195062978557,23.00913482851789,5.372037504783834,0.6728195062979694,23.009134828575345,3.464626544915649,1.9129733382717404,7.757034868445618,6.0
6,0.098:0.046,0.02427798409667048,18.10815848590535,6.0,0.6722739957008343,23.008283548059076,5.371031411081916,0.672273995700948,23.008283548143684,3.4636204512137545,1.9129301283951463,7.758704381982653,6.0
7,0.098:0.047,0.02427798409667048,18.108158485906678,6.0,0.671728485103813,23.007432267645015,5.370025317380029,0.6717284851040404,23.0074322677281,3.4626143575120683,1.9128869185183248,7.7603738955194,6.0
8,0.098:0.048,0.02427798409667048,18.10815848590535,6.0,0.671182974507019,23.006580987061792,5.369019223678595,0.671182974507019,23.0065809872693,3.4616082638101933,1.9128437086421854,7.762043409056926,6.0
9,0.098:0.049,0.02427798409667048,18.10815848590535,6.0,0.6706374639101114,23.005729706847287,5.368013129976923,0.670637463910225,23.005729706746685,3.4606021701087517,1.9128004987655913,7.763712922593945,6.0
10,0.098:0.05,0.02427798409667048,18.10815848590535,6.0,0.6700919533134311,23.00487842649713,5.367007036275709,0.67009195331309,23.00487842638055,3.459596076406637,1.9127572888889972,7.765382436130974,6.0
11,0.098:0.051000000000000004,0.02427798409667048,18.10815848590535,6.0,0.669546442716296,23.004027146020913,5.3660009425735735,0.6695464427158413,23.004027145827152,3.4585899827042477,1.9127140790128578,7.76705194966846,6.0
12,0.098:0.052000000000000005,0.02427798409667048,18.10815848590535,6.0,0.6690009321193884,23.00317586544068,5.3649948488719,0.6690009321192747,23.003175865573176,3.457583889003285,1.9126708691362637,7.768724157347359,6.0
13,0.098:0.053000000000000005,0.02427798409667048,18.10815848590535,6.0,0.6684554215221397,23.00232458484634,5.36398875516955,0.668455421522367,23.002324585136837,3.4565777953016172,1.9126276592594422,7.770393663201187,6.0
14,0.098:0.054,0.02427798409701154,18.108158485907722,6.0,0.6679099109254594,23.00147330457912,5.362982661468345,0.6679099109251183,23.00147330456246,3.455571701599267,1.912584449382848,7.772063180976335,6.0
15,0.098:0.055,0.02427798409701154,18.108158485907722,6.0,0.667364400328438,23.00062202427838,5.361976567766437,0.6673644003283243,23.000622024241615,3.454565607897823,1.9125412395060266,7.773730003816041,6.0
16,0.098:0.056,0.024260663730956367,18.109269973502542,6.0,0.666818889731644,22.999770743789345,5.3609704740650335,0.6668188897314167,22.9997707438212,3.453559514196121,1.9124980296294325,7.775399517353059,6.0
17,0.098:0.057,0.024219473799576008,18.111913225803676,6.0,0.6662733791343953,22.998919463293902,5.359964380362651,0.6662733791346227,22.9989194634838,3.4525534204946973,1.9124548197532931,7.777069030890587,6.0
18,0.098:0.058,0.024178283866831407,18.11455647809683,6.0,0.6657278685376014,22.998068182974,5.358958286661216,0.665727868537715,22.99806818303942,3.4515473267930457,1.912411609876699,7.778738544427587,6.0
19,0.098:0.059,0.02413709393545105,18.11719973039838,6.0,0.6651823579406937,22.997216902531253,5.357952192959539,0.66518235794058,22.99721690247857,3.4505412330909095,1.9123684000001049,7.7804080579645865,6.0
20,0.098:0.06,0.02409590400407069,18.119842982699062,6.0,0.664636847343786,22.996365622117246,5.3569460992578675,0.6646368473438997,22.99636562221614,3.449535139389701,1.9123251901239655,7.782077571502111,6.0
21,0.098:0.061,0.02405471407269033,18.122486235001,6.0,0.664091336746651,22.99551434161856,5.35594000555574,0.6640913367469921,22.995514341778158,3.4485290456880393,1.9122819802473714,7.783747085039132,6.0
22,0.098:0.062,0.024013524141309972,18.125129487303756,6.0,0.663545826149516,22.99466306108161,5.354933911853622,0.6635458261499707,22.994663061134297,3.4475229519861124,1.91223877037055,7.785416598575857,6.0
23,0.098:0.063,0.02397233421118017,18.127772739612542,6.0,0.663000315552722,22.99381178070587,5.353927818152217,0.663000315552722,22.99381178076325,3.4465168582837773,1.9121955604939558,7.787086112112916,6.0
24,0.098:0.064,0.02393114428014087,18.130415991915942,6.0,0.6624548049558143,22.99296050033327,5.352921724450527,0.662454804955928,22.99296050043059,3.4455107645823357,1.9121523506171343,7.788758319807146,6.0
25,0.098:0.065,0.02388995434841945,18.13305924421575,6.0,0.6619092943589067,22.992109219815468,5.35191563074884,0.6619092943590204,22.992109219963314,3.444504634038561,1.9121091407405402,7.7904251391867065,6.0
26,0.098:0.066,0.02384876441715278,18.135702496518885,6.0,0.661363783761999,22.99125793954184,5.350909537047157,0.6613637837618853,22.991257939482814,3.4434985771785307,1.9120659308644008,7.792094652724198,6.0
27,0.098:0.067,0.023807574485999794,18.1383457488209,6.0,0.6608182731649777,22.990406658885178,5.34990344334527,0.6608182731649777,22.990406659044837,3.4424924834768706,1.9120227209878067,7.793764166261237,6.0
