,kcat_MW
A_PAI2T,29.86110582
A_EDTXS2,606.980614
B_ANHMK,553.29215
A_APH140,922.7560461000002
B_A5PISO_reverse_num1,235.68104100000002
A_IPPMIb_reverse,1702.964147
B_NTD5_num1,224.5731463
B_OCTNLL,590.1578883999999
B_RPI_num1,1552.955826
B_NTP3pp,101.0930993
B_APPLDHr_reverse,65.60859878
B_POX,46.16832479999999
B_NTD6_num3,695.9159093999999
B_MOADSUx,334.6728334
A_ALDD3y_num2,105.46311920000001
B_PGPP140_num1,510.92612239999994
A_3OAS140_num2,176.79892080000002
A_RBP4E_num3,3298.817759
A_HACD4_num1,242.1817762
B_E4PD_num1,62.48392839
B_MPTAT,38.45006047
A_NDPK5_num1,418.2529252
A_PFL_num2,333.128104
B_RPNTPH,20557.82549
B_ECOAH4_num2,261.4451097
B_FEENTERES,495.6662533
B_PGMT_reverse_num1,503.8888855000001
A_HPYRRx_num2,237.2763704
A_APG3PAT141,1154.56152
B_CYANSTpp,885.5762832999999
A_F1PP_num4,1012.9652689999999
A_FBP_num4,9232.304887
A_3OAS120_num2,109.12138829999999
A_LPLIPAL2G141,238.59551319999997
A_DDPA_num1,925.5572045
A_ALLULPE,1087.661538
B_HACD8_reverse_num1,149.5444831
A_3NTD2pp_num1,632.9957641
B_MDDEP3pp_num4,639.2407897999999
B_SERD_L_num5,559.3507162999999
B_ECOAH8_num1,244.7449952
B_MLTGY4pp_num4,199.0505698
A_RNDR4b_num1,669.155009
A_GLUPRT,971.8869742999999
B_GGPTRCS,16.34221415
B_NTD8_num3,218.85155669999997
B_UDCPDP_num2,673.9879346
A_DKGLCNR1_num1,323.3061338
A_DHPPDA2,14.27923338
A_ACGAMK,659.5171821
A_GRXR_num2,490.76669960000004
A_GCALDD,0.344347347
A_DASYN180,549.2368871
A_NTD5_num4,503.53172350000006
B_ASPCT_num2,168.4314017
A_ICDHyr_reverse,331.851104
B_DUTPDP_num1,272.60056549999996
B_ACACT6r_num1,873.2507207
B_NO3R1pp_num1,1599.714657
A_MCITS,408.8531343
B_F6PA_num2,2852.623424
B_4PEPTabcpp_num2,239.78898470000001
A_MMCD,131.3335685
A_PRPPS,841.6549039999999
A_LPLIPAL2A181,335.8736838
B_MLTGY4pp_num5,361.31599769999997
A_LKDRA_reverse,56.59730168
B_PRPPS_reverse,284.27613310000004
A_GRTT,13.433002900000002
A_LPLIPAL1G120pp,101.67843309999999
A_FA140ACPHi,4366.212784
A_ECOAH6_reverse_num2,289.32028219999995
B_SQGH,406.1662335
A_CYANST_num1,8900.055601
B_ADSL2r_reverse,77.49908994
B_DGUNC_num2,458.8325306
B_RPE_reverse,4413.377637
B_CDAPPA181,1136.438806
B_HACD8_reverse_num2,308.8747599
A_PGPP181pp_num1,489.68902829999996
B_PDX5PS,33.57078867
B_EDTXS4,1702.027176
A_ACONTb_num1,546.6418955
B_FRD2,327.55756230000003
B_GMHEPPA,13310.05848
B_LPLIPAL2ATG180,366.9315767
B_SDPTA_reverse_num2,603.6338758999999
A_DAGK181,337.40034510000004
B_RNTR1c2_num1,273.83080079999996
A_ACOTA_reverse_num3,372.71706800000004
B_MC6PH,5322.990653
A_CYSDS_num2,62.44796396
B_ADSS,125.46216650000001
B_GTPCI,0.11598582699999999
B_SERAT_reverse,323.1267704
B_PHETA1_num3,797.5334386
B_FTHFD,58.83641234
B_GUI1,1595.918408
A_ULA4Ntppi,1402.968061
A_OHPHM,453.2316166
B_KARA2_reverse,54.49491701
B_ALAALAr_reverse_num2,305.7158963
A_MALS_num2,1049.505725
A_GUI1,1595.918408
B_PLIPA1G181pp,140.6855399
B_ASPK_num1,3551.454153
B_MAN6PI,920.9366153999999
B_ACOATA,424.8642001
A_3OAR161,90.96192065
A_CBMKr,1170.7962890000001
B_CLPNS120pp_num2,498.00324620000004
A_PLIPA1A160pp,192.15750319999998
A_6D6SFK,757.5998992000001
A_NTD3pp_num1,280.4206769
A_MDDCP1pp_num6,1141.1604630000002
A_AGM4PH,264.7829403
A_PPS,2120.938517
B_DC6PDA,895.3924051000001
A_CYTBDpp_num1,489.59565210000005
A_RMI,184.7954541
A_KAS15,328.94489649999997
B_RNDR2b_num3,107.41897379999999
B_CYSTL_num2,192.38585680000003
B_IMPC,300.86020410000003
B_NTD5_num4,503.53172350000006
B_PPCSCT,292.5752466
A_TRSARr_reverse_num2,717.8830886
B_PGPP180pp_num1,490.41787530000005
A_AMPTASEPG_num2,106.87188799999998
B_GLUDC_num2,199.9830716
B_ICYSDS,0.399206024
B_IGPDH,169.8199635
A_PGSA120,460.74379189999996
A_NADH10_num3,531.8885025000001
B_MLTGY1pp_num4,789.7179147999999
A_UGLCURPpp,236.0847982
A_ALAALAr_num2,270.04154960000005
A_HEX1,1369.775645
A_3HAD181_num1,441.47236150000003
A_HACD4_num2,500.2112845
A_GGGABADr,386.09372169999995
B_LYSAM_reverse,660.8073504
A_TYRTA_num1,798.0561485000001
A_GLUDC_num2,199.9830716
B_METSOXR1_num2,244.8198398
B_FCLK,1305.154454
A_CTECOAI7_reverse,1243.8139099999999
B_ADK4,399.4207732
B_G6PP_num3,429.02285939999996
A_2AGPGAT140,322.24094510000003
A_RNDR4b_num2,713.3183042999999
A_RNTR3c2_num2,143.0428779
A_TKT1_reverse_num1,150.72964330000002
B_FACOAE60,80.06335993
A_FBA_num1,4000.2809899999997
B_PGPP181_num2,887.5214202999999
B_AMPTASEPG_num2,106.87188799999998
A_THRD_L_num2,404.70880889999995
B_PYDAMK,150.75332
A_AB6PGH_num1,799.3984611000001
B_CPPPGO,13.11087576
A_GPDDA2pp,503.9041755
A_MN6PP_num2,379.87343300000003
A_DGUNC_num5,166.2912761
A_PAPSR_num2,486.2921586
A_PLIPA2E180pp,140.21657
A_GLGC,96.66593572
B_DCTPD,170.47146999999998
A_ACOAD4f,2082.3571239999997
A_THDPS,144.5197895
B_NTD5pp_num1,181.31717609999998
B_AKGDH,1487.104443
A_HXAND,497.7574563
A_LYSAM,679.2793988
A_MDDCP1pp_num5,1257.163872
A_DXYLK,358.7064579
B_FBP_num1,3997.1835109999997
A_ECOAH6_reverse_num1,597.5729151
A_MLTGY3pp_num5,653.5772783
A_PGPP160pp_num1,491.22470769999995
A_PPA_num3,2565.886313
A_TMAOR1_num1,694.4358643999999
A_ACGK,556.7102547999999
B_MDDEP2pp_num4,3754.349125
A_PLIPA2A180pp,140.2165203
B_X5PL3E_num2,7425.190284
B_LIPOS,128.9176023
B_MPTG_num3,96.44906324
A_3NTD4pp_num1,474.50331439999997
A_GTPCI,0.11598582699999999
A_TYROXDApp,73.34218731
B_F6PP_num4,899.8657555999999
A_MLDCP2App_num1,910.9142545
B_NTD7pp_num3,164.6822431
A_TDSK,755.4156554
B_MDDEP1pp_num3,498.0710034
A_HYD3pp_num1,60.06203767
B_LPLIPAL2ATG161,732.9560489
B_UAG2E,677.1179884
B_PUNP4_reverse_num1,52.41310524
A_ACACT7r_num1,782.0622236
B_PPTHpp,62307.572089999994
B_PGL,18244.11418
B_3NTD9pp_num2,399.1777683
B_DHNPA2r_reverse,101.71210190000001
B_PPK,186.2363466
B_ORNDC_num2,216.8597236
A_MDDCP4pp_num6,281.261899
A_DASYN141,758.5163132
B_3HAD180_num1,249.08632319999998
B_GUAPRT_num1,213.50965010000002
A_R15BPK,861.6758585000001
A_NDPK6_num1,417.8570146
B_PSCVT,1640.0626519999998
A_FMNAT,9.327955364
B_ECOAH4_reverse_num2,216.0337974
B_ASPK_reverse_num1,741.7666415
A_TYRTA_reverse_num1,276.57978860000003
B_HEPT4,1582.8323460000001
A_DHBS,176.5381246
A_PGLYCP,386.6796359
B_GTHPi,1036.425409
A_ECOAH1_num2,271.058866
A_3OAR141,90.96171033
B_GRXR_num3,1307.826789
A_MDDCP3pp_num1,557.2301964
B_DHFR_num2,976.6383262
A_PSSA141,203.1286072
A_NMNDA,672.3138686000001
B_ASNS2_num2,545.8114557
A_ACPPAT140,206.9723226
A_IPMD_num1,223.19508059999998
B_THRA2_num1,197.1626018
A_2DDARAA_num1,868.6046236
A_GLCRD_num1,344.05167630000005
B_PLIPA1E120pp,140.21671
B_NDPK8_num2,245.28598689999998
A_LPLIPAL2G180,259.017197
A_CDGUNPD_num3,741.2966443
B_VPAMTr_reverse,218.53000980000002
B_PGSA141,905.7820101
B_PDE1_num2,3995.722071
B_NDPK4_reverse_num2,416.328661
B_PLIPA1G140pp,140.68459209999997
A_CYTDK1,409.8637997
A_BETALDHx,85.25322897
B_MN6PP_num2,379.87343300000003
B_NADPHQR4,383.9484394
A_PGM_reverse_num2,4323.713431
B_NTD8_num1,391.33282610000003
A_CDAPPA161,362.37807210000005
B_NTP10_num2,280.027846
B_ACONTb_reverse_num2,300.04789889999995
B_AGMt2pp,642.0356436000001
A_DHCURR,132.53176340000002
A_GMAND,218.181068
A_AGM3PApp_num4,759.9962722
B_3KGK,424.6162096
B_LPLIPAL1E161pp,146.0173283
A_FCLK,1305.154454
B_TALA_num1,708.9548467
A_HACD8_num2,391.5971475
A_LPLIPAL2ATG181,502.8630518
A_PTAr_reverse_num2,5831.252346
A_AACPS7,215.1392734
A_ALCD2x_reverse_num2,610.1117677
A_LDH_D,286.84871180000005
A_AOXSr2,0.043275212
B_CRNCDH,1398.930124
A_ASPK_reverse_num1,741.7666415
B_MDDCP4pp_num2,134.95558490000002
B_3OAR160,90.96167649
B_FDMO6,58.12595834
A_PUNP4_num1,88.68716457
A_GHMT2r_reverse,404.2680401
A_RPI_num2,2208.7058269999998
B_ADOCBIK,231.18078709999997
B_ACP1_FMN_num2,865.2536233
A_NDPK4_num1,540.1339477000001
B_RNTR4c2_num4,91.26114268
A_G3PD2,943.9112068
