,fluxes,equ,kcat_MW,enz
A_23CGMPtex_num1,0.0,A_23cgmp_e --> A_23cgmp_p,,
A_EX_14glucan_e,0.0,A_14glucan_e --> ,,
B_gthox_e_con_2,0.0,gthox_e --> B_gthox_e,,
A_LALADGLUtpp_num3,0.0,A_LalaDglu_p + A_h_p --> A_LalaDglu_c + A_h_c,,
B_SKMtex_num2,0.0,B_skm_e --> B_skm_p,,
B_CRNCAR,0.0,B_crncoa_c --> B_crnDcoa_c,7203.002458,0.0
A_LSERDHr_reverse,0.0,A_2amsa_c + A_h_c + A_nadph_c --> A_nadp_c + A_ser__L_c,102.616573,0.0
B_EX_fusa_e,0.0,B_fusa_e --> ,,
A_PTRCt2pp_num1,0.0,A_h_p + A_ptrc_p --> A_h_c + A_ptrc_c,,
B_CDAPPA181,0.0,B_cdpdodec11eg_c + B_h2o_c --> B_cmp_c + 2.0 B_h_c + B_pa181_c,1136.438806,0.0
B_NO2t2rpp_reverse_num2,0.0,B_h_c + B_no2_c --> B_h_p + B_no2_p,,
A_HPPPNtex_num1,0.0,A_3hpppn_e --> A_3hpppn_p,,
B_ALLtex_reverse_num4,0.0,B_all__D_p --> B_all__D_e,,
A_GALS3,0.0,A_h2o_c + A_melib_c --> A_gal_c + A_glc__D_c,269.5997659,0.0
A_ECOAH6_num2,0.0,A_3htdcoa_c --> A_h2o_c + A_td2coa_c,229.8793029,0.0
B_ENTCS,0.0,3.0 B_23dhba_c + 3.0 B_seramp_c --> 6.0 B_amp_c + B_enter_c + 9.0 B_h_c,463.16335539999994,0.0
B_SUCMALtpp_num2,0.0,B_mal__L_p + B_succ_c --> B_mal__L_c + B_succ_p,,
A_NO3tex_reverse_num2,0.0,A_no3_p --> A_no3_e,,
B_MALDtex_reverse_num4,0.0,B_mal__D_p --> B_mal__D_e,,
B_no3_e_con_2_reverse,0.0,B_no3_e --> no3_e,,
A_GNK_num1,0.0,A_atp_c + A_glcn_c --> A_6pgc_c + A_adp_c + A_h_c,684.50501,0.0
A_SUCCt2_2pp_num2,0.0,2.0 A_h_p + A_succ_p --> 2.0 A_h_c + A_succ_c,,
A_MELIBt2pp_num1,0.0,A_h_p + A_melib_p --> A_h_c + A_melib_c,,
A_LIPOtex_num1,0.0,A_lipoate_e --> A_lipoate_p,,
B_PYK4,0.0,B_cdp_c + B_h_c + B_pep_c --> B_ctp_c + B_pyr_c,116.72804029999999,0.0
A_TTRCYCtpp_num2,0.0,A_h_p + A_ttrcyc_p --> A_h_c + A_ttrcyc_e,,
B_MGSA,0.0,B_dhap_c --> B_mthgxl_c + B_pi_c,99.41378514,0.0
A_PFL_num3,0.0,A_coa_c + A_pyr_c --> A_accoa_c + A_for_c,580.5635666000001,0.0
B_PGP180abcpp,0.0,B_atp_c + B_h2o_c + B_pgp180_c --> B_adp_c + B_h_c + B_pgp180_p + B_pi_c,,
B_Htex_reverse_num2,0.0,B_h_p --> B_h_e,,
A_FDH5pp_num1,0.0,A_for_p + 2.0 A_h_c + A_mqn8_c --> A_co2_p + A_h_p + A_mql8_c,58.526919400000004,0.0
B_ALAALAD,0.0,B_alaala_c + B_h2o_c --> 2.0 B_ala__D_c,1008.126187,0.0
B_CYSSADS_num1,0.0,B_3sala_c + 2.0 B_h_c --> B_ala__L_c + B_so2_c,152.188249,0.0
B_N2Otex_num3,0.0,B_n2o_e --> B_n2o_p,,
B_SUCASPtpp_num2,0.0,B_asp__L_p + B_succ_c --> B_asp__L_c + B_succ_p,,
A_EX_cu2_e,0.0,A_cu2_e --> ,,
B_FACOAE60,0.0,B_h2o_c + B_hxcoa_c --> B_coa_c + B_h_c + B_hxa_c,80.06335993,0.0
B_FUMtex_reverse_num1,0.0,B_fum_p --> B_fum_e,,
B_FRD2,0.0,B_fum_c + B_mql8_c --> B_mqn8_c + B_succ_c,327.55756230000003,0.0
B_12PPDStex_num1,0.0,B_12ppd__S_e --> B_12ppd__S_p,,
A_BGLA1_num2,0.0,A_6pgg_c + A_h2o_c --> A_g6p_c + A_glc__D_c,185.1329976,0.0
A_RNDR3b_num3,0.0,A_cdp_c + A_grxrd_c --> A_dcdp_c + A_grxox_c + A_h2o_c,80.71911588,0.0
A_DALAtex_reverse_num3,0.0,A_ala__D_p --> A_ala__D_e,,
A_MALTPTtexi,0.0,A_maltpt_e --> A_maltpt_p,,
B_METSOX1abcpp,0.0,B_atp_c + B_h2o_c + B_metsox_S__L_p --> B_adp_c + B_h_c + B_metsox_S__L_c + B_pi_c,,
A_TMAOtex_reverse_num3,0.0,A_tmao_p --> A_tmao_e,,
A_CLtex_reverse_num4,0.0,A_cl_p --> A_cl_e,,
