,fluxes,reduced_costs
ALATA_D2_num1,0.0,725.1828863595515
SHCHD2,2.23e-05,-19422.604105613194
CPPPGO,2.23e-05,-18150.251563335227
GTHOr,0.0026166,-898.075581643765
DHORD5,0.0,385.62299184757285
GLYCTO2,0.0,721.0978944297102
GLYCTO3,0.0,969.6098358989693
GLYCTO4,0.0,1246.7001119406482
PFK_3,0.0,2252.5923061049616
TRPS2,0.0,424.2612541192011
G3PD5_num1,0.0,895.5793162850291
EX_acgam_e,0.0,21513.102375870738
EX_cellb_e,0.0,-2.0
EX_chol_e,0.0,-2.0
LEUTAi_num1,0.0,131.75397643248925
SHK3Dr,0.03811190000000001,-153.79939627083337
G5SD,0.0221055,-844.797659692098
ALATA_L2_num1,0.0,-375.3678090997273
MAN6PI,0.0,-260.36682734648986
APRAUR,4.459999999999999e-05,-16665.322545128998
DB4PS,8.919999999999999e-05,-9081.587502048813
RBFK,2.2299999999999993e-05,-25510.212917313907
ACP1_FMN_num1,0.0,51572.12524204016
RBFSb,4.459999999999999e-05,-154959.41984355415
EX_pi_e,0.0,2.0
EX_h_e,5.589851774367194,-2.0
DMATT,2.780000000000022e-05,-17715.051450924082
GRTT,2.780000000000022e-05,-17715.051450924075
UPP3S,4.46e-05,-1839.2826766690705
UPPDC1,2.23e-05,-3204.5624732941724
TMDPP,0.0,-739.0604150741692
EX_ade_e,0.0,24551.661574342434
EX_4abut_e,0.0,-2.0
EX_ac_e,0.05821859999999999,-2.0
EX_akg_e,0.0,4823.831832920685
EX_ala__L_e,0.0,1083.9391041015197
EX_arg__L_e,0.0,21910.259723561194
EX_asp__L_e,0.0,1040.7945074218599
EX_cytd_e,0.0,10921.039483544711
EX_dcyt_e,0.0,12851.365973669139
EX_fum_e,0.071209499981257,-1.9999999999996143
EX_glu__L_e,0.0,5025.30889110432
EX_gua_e,0.0,32823.743259925526
HCO3E_num1,0.0,36.71310069338608
IMPC,0.0,1550.6905324428444
IMPD,0.0,-113.8844777917875
ECOAH4_num1,0.0,-442.62988086929545
GLUTRS,0.0003568,-39523.23215089177
TMPPP,2.23e-05,-76061.00443205614
URIK1,0.0,1784.422090106973
URIK2,0.0,2611.464106612799
CYTDK1,0.0,-582.5330250738716
CYTDK2,0.0,-45.75931242296235
XPPT,0.024322800000000006,-1549.1316287103955
HXPRT_num1,0.0,4614.737145319401
NDPK5_num1,0.0,-570.8889596990521
DHORTS,0.0,2007.3903322833464
OMPDC,0.0330795,-147.1334388786782
CS,0.10751919999999995,-658.5896413628161
ICDHyr,0.10751919999999995,-551.8648998146964
ACALD_num1,0.0,136.41012134354614
ACS,0.0,832.2175787975939
PPA_num1,0.0,47.00181174205279
PPCK,0.0,446.40617443795236
ME1,0.0,1162.8435933052715
ALAR_num1,0.0041682,-164.1979159072414
ALATA_L_num1,0.0,1231.4140365278286
XYLK_num1,0.0,5471.915623153698
RBK,0.024322800000000006,-260.90598610185947
GLYK,0.0,1018.7595281519789
PPM,0.0,719.6547814679866
ASPTA_num1,0.0,2039.5671902452873
FBP_num1,0.0,338.15450675833625
GLGC,0.0,5216.9080359632535
PYK_num1,0.0,10.150338513922009
A5PISO_num1,0.0,-565.1265764138782
EX_met__L_e,0.0,34840.59316410395
EX_metsox_S__L_e,0.0,31816.065524774516
IPPMIb,0.0,1021.9035152215338
ACHBS_num1,0.0290529,-509.6786196019297
ACLS_num1,0.0,-124.5949442041114
PSCVT,0.03811190000000001,-147.07950121170893
ANS,0.0056843,-3107.132746476459
ANPRT,0.0056843,-1505.511760535759
CHORM_num1,0.0,-160.39799597869387
CHORS,0.03811190000000001,-248.35831135609698
IGPS,0.0056843,-656.2317614170706
EX_crn_e,0.0,-2.0
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,294.33311849633867
EX_gln__L_e,0.0,5169.329994947093
EX_glyc_e,0.0,294.1505773068697
EX_man_e,0.0,-2.0
EX_mn2_e,0.0,2.0
EX_rib__D_e,0.0,0.0
EX_sbt__D_e,0.0,1499.6358083577652
ECOAH6_num1,0.0,1299.487771498505
ENO,6.253864539944575,-28.23940742570447
FBA_num1,0.8873364093414163,-61.48068950729197
MGSA,0.0,4911.402553399628
PPS,0.0,564.7249131673345
PGI,4.9629762352832385,-2.7122181454615486
PGK,0.0,251.29220956574864
EDA,0.0,-360.7649751351444
PGL,0.8076930046800798,-15.041985440375733
RPE,0.4047362968799454,-31.427892846420953
TALA_num1,0.0,-6.188669512810293
TKT1_num1,0.0,-4.161961039907794
G6PDA,0.0,8652.052822385565
ALCD2x_num1,0.0,13004.131252886375
ALDD2y_num1,0.0,851.7038594899134
RMI,0.0,-1289.582926732129
EX_ura_e,0.0,11062.836303564705
EX_val__L_e,0.0,15093.868859805292
EX_xan_e,0.0,22461.21593902027
FMNAT,2.2299999999999993e-05,-25510.212917313933
NADDP_num1,0.0,3222.587140849595
NMNAT_num1,0.0,3585.66774417795
HMPK1_num1,0.0,-134.28482669987352
NDPK6_num1,0.0026166,-571.4279698424671
NDPK8_num1,0.0,1150.380895868475
PYNP2r,0.0,-864.1515196873297
DURIPP_num1,0.0,1151.322756560674
PTRCTA,0.0,2746.9501026571866
CYSDS_num1,0.0,7072.955781954308
TRPAS2,0.0,7683.58057732168
NDP3_num1,0.0,517.9072650649723
CDPPH,0.0,675.5773552723858
NDP7,0.0,777.4304087998444
EX_co2_e,1.3400030234191531,-2.0
PMDPHT_num1,0.0,-606.1020842555408
ILETA,0.0,6624.475251080232
VALTA,0.0,7091.27196947675
ORPT,0.0,2198.0141181387253
RBFSa,8.919999999999999e-05,-32037.595422362312
DHAD2,0.0290529,-64.32031325156686
G1PP_num1,0.0,973.3677933622253
PFL_num1,0.0,-396.5831823845691
FRD2,0.0,565.1334609813057
FRD3,0.0,-12.944870608625934
POX,0.0,4991.6858938537025
PTAr_num1,0.0,175.39748023419463
ACKr_num1,0.0,-61.8060518528564
EX_hxan_e,0.0,21776.41529055665
EX_ile__L_e,0.0,12874.564471519425
EX_lac__L_e,0.0,2017.2638251114329
EX_leu__L_e,0.0,16436.63440641502
EX_no3_e,0.0,576.3575590019935
EX_orn_e,0.0,8263.064665421216
EX_pro__L_e,0.0,9284.702216249356
EX_pyr_e,4.993389739963318,-2.0
EX_succ_e,0.03306970000000001,-2.000000000000341
EX_thymd_e,0.0,15483.001375776606
EX_tyr__L_e,0.0,5332.8508230920215
MOAT,0.0019456000000000002,-54.97749218796339
