,kcat_MW
A_ASAD,373.79945489999994
A_LA4NTpp,485.0311498
B_FBP_num2,1862.3745420000002
B_DBTS,0.037283136
B_5DKGR_num2,397.2848709
A_BSORy,608.9989386
A_ACACT3r_reverse_num1,794.3179766
B_UGLT,856.2261972000001
B_F6PA_num1,292.1887255
A_CYANST_num2,13729.492890000001
A_CLPNS181pp_reverse_num1,191.9939672
A_AGM4PCP,1383.521961
A_ACONTb_reverse_num2,300.0478988
B_GHBDHx,174.5587256
A_CLPNS140pp_reverse_num2,544.8317201
B_PTRCTA,363.7214282
A_FACOAL141t2pp_num2,148.5955196
A_TPRDCOAS,738.080474
B_SHCHCS3,1707.6970350000001
A_RNTR2c2_num2,124.22699159999999
A_ASPCT_num1,112.4903294
B_IMPD,31.14040188
B_G6PP_num3,429.02285939999996
A_PDE1_num1,684.7944913
A_ULA4NFT,32.05400018
A_GTHS,299.83398880000004
B_DAGK141,234.06419790000004
B_CDAPPA141,1056.558832
B_FCLT_num3,101.8522046
B_PPDOy,726.989701
A_THD2pp,10505.11238
A_RNTR2c2_num3,167.5211784
B_MOADSUx,334.6728334
A_3OAS141,109.121532
A_HXAND,497.7574563999999
B_GGPTRCS,16.34221416
A_BWCOGDS1,1191.645425
A_S2FE2ST,50.7341595
A_MDDCP5pp_num1,3183.314261
B_RNDR3b_num2,80.53767722
A_CTBTCAL2,185.75499950000003
A_MPTAT,38.45006047
A_FA140ACPHi,4366.212786
B_PANTS,1.139325235
B_ACOAD6f_reverse,11216.662709999999
B_ABTA_num1,369.7895395
A_IPDDI,810.9727691
B_ATHRDHr_reverse,260.0096335
A_LCARS,154.5812284
A_ACALD_reverse_num1,4266.682536
A_RNTR4c2_num1,91.24246224
B_SELNPS,1251.223093
A_3AMACHYD,750.9885065000001
A_HPYRI,854.3305515000001
B_DPR_num2,44.3182545
A_FADRx2,96.89318868
A_ACACT6r_reverse_num1,644.3150475
A_CHRPL_num1,44.09673588
B_F6PP_num5,629.4337975999999
A_TGBPA_num2,402.4964885
B_F6PA_reverse_num1,86.08264451
A_PRFGS,356.4288376
B_RPE_reverse,4413.377638
B_HACD8_num1,189.5952684
A_GRXR_num1,463.9529182
A_TRDR_num2,424.812512
A_2AGPGAT180,120.66116229999999
A_CTPS2,163.9774639
B_NTD8_num4,490.70293269999996
B_ATPPRT,118.6812001
A_OPHBDC,28.49022159
A_ACKr_reverse_num2,4120.02224
B_MLTGY2pp_num3,1785.555593
A_OPHHXy,210.2208765
B_S7PI,390.7646885
A_SHCHF,12.25190886
B_ADPRDP_num2,275.3031183
A_OBTFL_num2,102.8148531
A_FACOAE100,1164.050417
B_DURIPP_num1,338.0871986
B_CYTBD2pp,283.79171560000003
B_NTPP3_num3,3364.2265079999997
A_HACD7_num2,215.86511040000002
A_DHPTDNRN,538.8930806
A_FACOAE181,221.3089733
B_LPLIPAL1A120pp,101.6784194
A_MALS_num2,1049.505725
A_AMPTASEPG_num3,299.3580559
B_MDDEP1pp_num6,611.9390394999999
A_ECOAH4_num2,261.4451097
B_GLYCLTDx_num2,580.4389606000001
A_DDPA_num3,1816.4421989999998
A_ACOAD3f_reverse,14363.7839
A_DGUNC_num5,166.2912761
A_GARFT_reverse,1723.5489519999999
A_FEOXAMR1,866.0743428
B_ACACT8r_num1,510.15734299999997
A_ACOAD4f_reverse,14363.7839
B_XYLK_num2,235.6739134
B_3NTD4pp_num3,474.50331439999997
B_SELR,56.95752371
B_SHKK_num2,3198.9347329999996
A_PUNP3_reverse_num2,62.9634939
B_TAUDO,72.68203536
B_ALCD2x_reverse_num2,610.1117677
B_MLTP2_reverse,111.30969329999999
B_XYLI1,120.37437279999999
A_LPLIPAL2ATE140,251.30290930000004
A_GLYOX3,149.1025334
B_3OAS100_num2,108.02540659999998
B_MLDEP1pp,708.1242001
A_HACD6_reverse_num1,181.457368
A_MANAO,794.1399885
A_AGM3PApp_num2,492.12899330000005
A_THIORDXi_num3,649.444134
B_RNDR4_num1,40.16205523
B_AMPN,68.86935767
A_MDDEP3pp_num5,977.1061278999999
A_METGLCUR,176.9319743
B_CYTK2_reverse,440.3842978999999
A_PAPA181,670.7865188999999
A_ATHRDHr_reverse,260.0096335
B_E4PP_num3,774.918946
A_NTD6pp_num2,173.5285976
B_PAPA181,670.7865188999999
B_FOMETRi,625.6548035000001
B_R5PP_num2,475.52631110000004
B_NTD5pp_num2,311.2601585
A_DASYN120,303.4448149
A_MLDCP1App_num5,361.6100662
A_NDPK1_num1,934.7031421
A_NTPP7_num1,581.3955091
B_EAR161y,84.227347
A_AMANAPEr,1077.525709
A_NADH5_num4,229.20930819999998
A_LPLIPAL1G141pp,98.42517184
B_MDDCP2pp_num4,511.59552919999993
A_RNDR1b_num4,87.97184321
A_MDDEP3pp_num4,639.2407897999999
B_DASYN180,549.2368871
A_2DOXG6PP_num3,405.4753352
B_REPHACCOAI,674.4300494
A_GUI2,645.4316352999999
A_GPDDA5,400.7611063
B_CLPNS180pp_num1,331.4579748
B_LACZ,159.15098740000002
A_LYSAM,679.2793988
B_GART,10.180587599999999
A_ALDD3y_num1,650.7342980000001
B_LACZpp,257.0600597
A_NTP1_num2,689.5904815
B_APPLDHr,32.76670878
B_PGPP180_num2,598.7318356000001
B_HXPRT_num1,260.2419162
B_EAR120y,83.44137538
B_NTPP6_num1,168.70935669999997
