,flux,formula,kcat_MW,enz_useUPBCe
B_GLYCAtex_num3,0.0,B_glyc__R_e --> B_glyc__R_p,,
B_ACONMT,0.0,B_acon_T_c + B_amet_c --> B_aconm_c + B_ahcys_c,6096.849031000001,0.0
A_PYDAMtex_num4,0.0,A_pydam_e --> A_pydam_p,,
B_ACOTA_reverse_num2,1000.0,B_acg5sa_c + B_glu__L_c --> B_acorn_c + B_akg_c,,
B_UM4PL,0.0,B_LalaDgluMdapDala_c + B_atp_c + B_uamr_c --> B_adp_c + B_h_c + B_pi_c + B_um4p_c,186.64037119999998,0.0
B_DOXRBCNtex_num1,1000.0,B_doxrbcn_e --> B_doxrbcn_p,,
B_OXDHCOAT,0.0,B_3oxdhscoa_c + B_coa_c --> B_23dhacoa_c + B_accoa_c,366.580603,0.0
B_3AMPtex_reverse_num2,0.0,B_3amp_p --> B_3amp_e,,
B_spmd_e_con_2_reverse,0.0,B_spmd_e --> spmd_e,,
B_glyclt_e_con_2_reverse,0.0,B_glyclt_e --> glyclt_e,,
A_PA160abcpp,0.0,A_atp_c + A_h2o_c + A_pa160_c --> A_adp_c + A_h_c + A_pa160_p + A_pi_c,,
A_FEOXAMexs,0.0,A_fe3_e + A_feoxam_un_e --> A_feoxam_e,,
B_inost_e_con_2,0.0,inost_e --> B_inost_e,,
A_ABUTtex_num1,1000.0,A_4abut_e --> A_4abut_p,,
B_TUNGStex_num4,0.0,B_tungs_e --> B_tungs_p,,
B_G1PPpp_num1,0.0,B_g1p_p + B_h2o_p --> B_glc__D_p + B_pi_p,378.7036559,0.0
A_RNDR2_num2,0.0,A_gdp_c + A_trdrd_c --> A_dgdp_c + A_h2o_c + A_trdox_c,40.11763986,0.0
B_PLIPA2G160pp,0.0,B_h2o_p + B_pg160_p --> B_1agpg160_p + B_h_p + B_hdca_p,140.68457949999998,0.0
B_ECOAH7_num2,0.0,B_3hhdcoa_c --> B_h2o_c + B_hdd2coa_c,232.55948080000002,0.0
B_NO3R1bpp,0.0,B_no3_p + B_q8h2_c --> B_h2o_p + B_no2_p + B_q8_c,922.9342075,0.0
B_I2FE2SR,0.0,B_2fe1s_c + B_iscssh_c + B_iscu_c --> 4.0 B_h_c + B_iscs_c + B_iscu_2fe2s_c,89.41592468,0.0
A_ACKr_reverse_num2,0.0,A_actp_c + A_adp_c --> A_ac_c + A_atp_c,4120.02224,0.0
B_NTPP4_num1,0.0,B_ctp_c + B_h2o_c --> B_cmp_c + B_h_c + B_ppi_c,635.053545,0.0
B_APH181,0.0,B_h2o_c + B_ocdceap_c --> 2.0 B_h_c + B_ocdcea_c + B_pi_c,1706.929073,0.0
B_SDPTA_reverse_num5,0.0,B_glu__L_c + B_sl2a6o_c --> B_akg_c + B_sl26da_c,,
A_URAtex_reverse_num3,1000.0,A_ura_p --> A_ura_e,,
B_EX_galctn__D_e,0.0,B_galctn__D_e --> ,,
B_GDMANE,0.0,B_gdpddman_c --> B_gdpofuc_c,1798.6669769999999,0.0
A_DDPA_num3,0.0,A_e4p_c + A_h2o_c + A_pep_c --> A_2dda7p_c + A_pi_c,,
A_R5Ptex_num3,0.0,A_r5p_e --> A_r5p_p,,
A_DADK_reverse,0.0,A_adp_c + A_dadp_c --> A_atp_c + A_damp_c,565.7498977999999,0.0
A_GPDDA3,0.0,A_g3ps_c + A_h2o_c --> A_glyc3p_c + A_h_c + A_ser__L_c,588.7233258,0.0
B_PPALtex_reverse_num2,0.0,B_ppal_p --> B_ppal_e,,
B_PSD161,0.007521400000000001,B_h_c + B_ps161_c --> B_co2_c + B_pe161_c,791.4421834999999,1e-05
A_ARBtex_num2,0.0,A_arab__L_e --> A_arab__L_p,,
A_EX_dopa_e,0.0,A_dopa_e --> ,,
A_EX_leu__L_e,0.0,A_leu__L_e --> ,,
B_DOPAtex_num2,1000.0,B_dopa_e --> B_dopa_p,,
B_CYANST_num1,0.0,B_cyan_c + B_tsul_c --> B_h_c + B_so3_c + B_tcynt_c,8900.055602,0.0
B_MLTP3,0.0,B_malthp_c + B_pi_c --> B_g1p_c + B_malthx_c,118.3122402,0.0
A_udpgal_e_con_1,0.0,A_udpgal_e --> udpgal_e,,
B_Htex_reverse_num4,1000.0,B_h_p --> B_h_e,,
B_PA141abcpp,0.0,B_atp_c + B_h2o_c + B_pa141_c --> B_adp_c + B_h_c + B_pa141_p + B_pi_c,,
B_AGDC,0.0,B_acgam6p_c + B_h2o_c --> B_ac_c + B_gam6p_c,689.370836,0.0
A_SLNTabcpp_num1,0.0,A_atp_c + A_h2o_c + A_slnt_p --> A_adp_c + A_h_c + A_pi_c + A_slnt_c,,
B_2dglc_e_con_2,0.0,2dglc_e --> B_2dglc_e,,
B_MANGLYCtex_num4,0.0,B_manglyc_e --> B_manglyc_p,,
A_ECOAH3_reverse_num2,0.0,A_h2o_c + A_oc2coa_c --> A_3hocoa_c,244.8774191,0.0
B_ag_e_con_2,0.0,ag_e --> B_ag_e,,
A_SERtex_num2,0.0,A_ser__L_e --> A_ser__L_p,,
B_PYDXNtex_num1,0.0,B_pydxn_e --> B_pydxn_p,,
A_ACGAM1PPpp,0.0,A_acgam1p_p + A_h2o_p --> A_acgam_p + A_pi_p,,
B_EX_met__L_e,0.0,B_met__L_e --> ,,
B_O2tex_num4,1000.0,B_o2_e --> B_o2_p,,
A_CYTDtex_num2,1000.0,A_cytd_e --> A_cytd_p,,
B_PEAMNtex_num4,0.0,B_peamn_e --> B_peamn_p,,
A_LALALGLUtex_num3,0.0,A_LalaLglu_e --> A_LalaLglu_p,,
B_EX_15dap_e,0.0,B_15dap_e --> ,,
B_ACOAD1fr,0.0,B_b2coa_c + B_fadh2_c --> B_btcoa_c + B_fad_c,987.4087661,0.0
A_SBTptspp,0.0,A_pep_c + A_sbt__D_p --> A_pyr_c + A_sbt6p_c,,
B_4ABZGLUtex_num2,1000.0,B_4abzglu_e --> B_4abzglu_p,,
A_BTNtex_reverse_num3,0.0,A_btn_p --> A_btn_e,,
A_HSST,0.0153911,A_hom__L_c + A_succoa_c --> A_coa_c + A_suchms_c,403.0531274,3.8e-05
A_EX_ala__D_e,0.0,A_ala__D_e --> ,,
A_HYXNtex_num2,1000.0,A_hxan_e --> A_hxan_p,,
A_2AGPGAT181,0.0,A_2agpg181_c + A_atp_c + A_ocdcea_c --> A_amp_c + A_pg181_c + A_ppi_c,322.1086502,0.0
B_CRNtex_reverse_num3,0.0,B_crn_p --> B_crn_e,,
B_AMAOTr_reverse,0.0,B_amob_c + B_dann_c --> B_8aonn_c + B_amet_c,343.54018210000004,0.0
A_HMPK1_num2,0.0,A_4ahmmp_c + A_atp_c --> A_4ampm_c + A_adp_c + A_h_c,258.1702965,0.0
A_UGMDDS,0.0027788,A_alaala_c + A_atp_c + A_ugmd_c --> A_adp_c + A_h_c + A_pi_c + A_ugmda_c,1213.981015,2e-06
A_CHLtex_num1,0.0,A_chol_e --> A_chol_p,,
A_ACGAM1Ptex_num4,1000.0,A_acgam1p_e --> A_acgam1p_p,,
B_NTD6pp_num2,0.0,B_damp_p + B_h2o_p --> B_dad_2_p + B_pi_p,173.5285976,0.0
B_EX_acac_e,0.0,B_acac_e --> ,,
A_ETHSO3tex_num3,1000.0,A_ethso3_e --> A_ethso3_p,,
A_ECOAH6_reverse_num2,0.0,A_h2o_c + A_td2coa_c --> A_3htdcoa_c,289.32028219999995,0.0
A_BUTSO3abcpp_num2,0.0,A_atp_c + A_butso3_p + A_h2o_c --> A_adp_c + A_butso3_c + A_h_c + A_pi_c,,
B_NTPP3_num3,0.0,B_dctp_c + B_h2o_c --> B_dcmp_c + B_h_c + B_ppi_c,3364.2265079999997,0.0
B_12PPDStex_num3,0.0,B_12ppd__S_e --> B_12ppd__S_p,,
B_EX_crn__D_e,0.0,B_crn__D_e --> ,,
B_cpgn_e_con_2_reverse,0.0,B_cpgn_e --> cpgn_e,,
B_fuc__L_e_con_2,0.0,fuc__L_e --> B_fuc__L_e,,
B_NOtex_reverse_num4,1000.0,B_no_p --> B_no_e,,
B_fe3dcit_e_con_2_reverse,0.0,B_fe3dcit_e --> fe3dcit_e,,
A_MLDCP3App_num4,0.0,A_h2o_p + A_murein5px3p_p --> A_alaala_p + A_murein3px3p_p,331.2254077,0.0
B_G1PTT_num2,0.0,B_dttp_c + B_g1p_c + B_h_c --> B_dtdpglu_c + B_ppi_c,79.42828492,0.0
A_MMM,0.0,A_succoa_c --> A_mmcoa__S_c,4676.312131000001,0.0
A_UDPGLCURtex_reverse_num4,1000.0,A_udpglcur_p --> A_udpglcur_e,,
B_cs1_e_con_2,0.0,cs1_e --> B_cs1_e,,
A_PROGLYtex_num4,1000.0,A_progly_e --> A_progly_p,,
A_pser__L_e_con_1,0.0,A_pser__L_e --> pser__L_e,,
A_H2Otpp_num2,0.0,A_h2o_p --> A_h2o_c,,
A_MAN6Ptex_reverse_num2,1000.0,A_man6p_p --> A_man6p_e,,
A_TYRTA_num1,1000.0,A_akg_c + A_tyr__L_c --> A_34hpp_c + A_glu__L_c,,
B_12PPDStex_num1,0.0,B_12ppd__S_e --> B_12ppd__S_p,,
B_5DOAN,2.25e-05,B_dad_5_c + B_h2o_c --> B_5drib_c + B_ade_c,0.739099817,3e-05
A_LYXtex_num2,1000.0,A_lyx__L_e --> A_lyx__L_p,,
B_NO2t2rpp_reverse_num2,0.0,B_h_c + B_no2_c --> B_h_p + B_no2_p,,
B_HMPK1_num1,0.0,B_4ahmmp_c + B_atp_c --> B_4ampm_c + B_adp_c + B_h_c,139.0653359,0.0
A_TUNGSabcpp,0.0,A_atp_c + A_h2o_c + A_tungs_p --> A_adp_c + A_h_c + A_pi_c + A_tungs_c,,
A_NTD10pp_num2,0.0,A_h2o_p + A_xmp_p --> A_pi_p + A_xtsn_p,274.0669912,0.0
B_ALAtex_reverse_num1,1000.0,B_ala__L_p --> B_ala__L_e,,
