,fluxes,kcat,MW,kcat_MW,enz,equ
RHCCE,2.128830766,10.8,19.4162,0.556236545,3.827204065,rhcys_c --> dhptd_c + hcys__L_c
AHCYSNS,2.128830766,108,48.7079,2.217299452,0.960100705,ahcys_c + h2o_c --> ade_c + rhcys_c
MTHFR2,2.144221866,9720,132.4109,73.40785389,0.029209706,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c
METAT,2.128875766,27000,167.8065,160.8996076,0.013231081,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c
ADPT,2.128853266,10116.3237,39.7178,254.7050365,0.008358112,ade_c + prpp_c --> amp_c + ppi_c
PSERT,2.207158366,29880,79.5666,375.5344579,0.005877379,3php_c + glu__L_c --> akg_c + pser__L_c
PGCD,2.207158366,72000,176.7031,407.4631401,0.00541683,3pg_c + nad_c --> 3php_c + h_c + nadh_c
PGK_reverse,15.70995795,151200,41.1182,3677.203769,0.004272257,13dpg_c + adp_c --> 3pg_c + atp_c
PGM_reverse_num2,13.50279958,242966.3202,56.1939,4323.713432,0.003122964,3pg_c --> 2pg_c
ADK1,13.0238676,111600,23.586,4731.620453,0.002752517,amp_c + atp_c --> 2.0 adp_c
PRPPS,2.246443166,28800,34.2183,841.654904,0.002669079,atp_c + r5p_c --> amp_c + h_c + prpp_c
ATPS4rpp_num2,31.12039378,6754830.271,530.0127,12744.65738,0.002441838,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c
KARA1_reverse,0.0874367,8280,216.2761,38.28439666,0.002283873,alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c
F6PA_num2,5.928519914,67194.11527,23.5552,2852.623424,0.002078269,f6p_c --> dha_c + g3p_c
NADH16pp,16.12695325,5400000,540.4142,9992.335509,0.001613932,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c
ENO,13.50279958,828000,91.3099,9068.020007,0.001489057,2pg_c --> h2o_c + pep_c
FBA_num1,4.972744932,313200,78.2945,4000.28099,0.001243099,fdp_c --> dhap_c + g3p_c
PPA_num2,13.1116742,303342.6722,26.9004,11276.51158,0.001162742,h2o_c + ppi_c --> h_c + 2.0 pi_c
CYTBO3_4pp,16.12695325,2052552.006,143.9313,14260.63689,0.001130872,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c
TPI,4.958614332,259200,53.9436,4805.018575,0.001031966,dhap_c --> g3p_c
RPI_reverse_num2,2.104910239,85593.19064,32.1466,2662.589221,0.00079055,ru5p__D_c --> r5p_c
GAPD,15.70995795,3596400,142.13,25303.5953,0.000620859,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c
ARGSS,0.0295792,10080,199.5936,50.50262133,0.000585696,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
GTPCI,6.69E-05,28.8,248.3062,0.115985827,0.000576795,gtp_c + h2o_c --> ahdt_c + for_c + h_c
MCOATA,0.241334,17706.54298,41.0567,431.2704864,0.000559588,ACP_c + malcoa_c --> coa_c + malACP_c
MOHMT,6.74E-05,36,282.3744,0.127490311,0.000528668,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c
PDH,0.3944388,3596400,4586.6113,784.1083024,0.000503041,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c
ACCOAC,0.2413342,132480,252.4556,524.7655429,0.00045989,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
